0.05,17.723,0.006,0.737,0.001,-0.001,0.009,36.632,0.045,1
0.031,16.196,0.023,1.035,0.033,0.017,0.023,35.532,0.091,1
0.075,18.392,0.037,0.939,0.021,-0.023,0.025,37.642,0.049,1
0.026,16.241,0.021,1.03,0.027,0.155,0.018,35.353,0.094,1
0.101,19.299,0.028,0.839,0.032,-0.048,0.02,38.437,0.055,1
0.02,15.086,0.007,1.033,0.007,-0.031,0.008,34.494,0.111,1
0.045,17.592,0.016,0.985,0.016,0.095,0.014,36.728,0.057,1
0.043,17.275,0.033,0.784,0.016,-0.014,0.02,36.276,0.059,1
0.018,15.753,0.012,0.739,0.006,0.055,0.011,34.576,0.121,1
0.079,18.281,0.011,0.873,0.014,-0.043,0.012,37.465,0.041,1
0.088,19.398,0.073,0.65,0.029,0.032,0.037,38.121,0.046,1
0.063,18.177,0.041,1.001,0.018,-0.034,0.019,37.54,0.046,1
0.026,16.037,0.018,1.139,0.084,-0.005,0.018,35.565,0.141,1
0.05,17.799,0.014,0.915,0.018,0.096,0.017,36.827,0.06,1
0.071,18.377,0.054,0.988,0.022,0.041,0.026,37.604,0.048,1
0.025,16.735,0.017,0.699,0.012,0.25,0.015,35.192,0.092,1
0.053,17.614,0.011,0.901,0.01,-0.014,0.011,36.794,0.047,1
0.024,16.205,0.041,0.854,0.019,0.04,0.022,35.228,0.094,1
0.016,14.76,0.017,1.018,0.026,0.016,0.017,34.071,0.146,1
0.049,17.026,0.009,1.042,0.013,0.01,0.01,36.383,0.051,1
0.016,15.246,0.009,0.992,0.009,0.293,0.008,34.083,0.138,1
0.125,19.525,0.027,0.957,0.033,-0.074,0.015,38.885,0.049,1
0.035,16.611,0.01,0.983,0.015,0.037,0.011,35.837,0.069,1
0.016,15.816,0.006,0.881,0.003,0.343,0.007,34.405,0.133,1
0.017,15.38,0.019,0.989,0.024,0.225,0.009,34.319,0.133,1
0.03,16.636,0.029,1.045,0.111,0.122,0.01,35.822,0.21,1
0.03,16.821,0.014,0.917,0.024,0.005,0.01,35.994,0.08,1
0.017,15.284,0.02,0.916,0.024,0.008,0.014,34.452,0.136,1
0.028,16.048,0.01,0.938,0.008,0.071,0.007,35.15,0.079,1
0.054,17.66,0.055,0.733,0.039,-0.028,0.019,36.606,0.054,1
0.024,16.089,0.009,0.94,0.029,0.036,0.012,35.25,0.102,1
0.017,15.094,0.011,0.909,0.016,0.03,0.006,34.216,0.128,1
0.039,16.732,0.005,1.205,0.008,0.044,0.006,36.284,0.057,1
0.032,16.791,0.009,0.84,0.013,0.043,0.01,35.789,0.074,1
0.018,15.584,0.004,0.892,0.007,0.153,0.005,34.489,0.124,1
0.026,16.005,0.004,1.104,0.007,0.083,0.004,35.342,0.084,1
0.025,15.51,0.007,1.006,0.013,-0.066,0.006,34.931,0.091,1
0.036,17.091,0.027,0.868,0.024,0.054,0.013,36.113,0.066,1
0.023,16.544,0.007,0.732,0.006,0.19,0.006,35.146,0.094,1
0.016,15.323,0.005,0.724,0.006,0.052,0.005,34.129,0.133,1
0.022,15.832,0.014,0.953,0.01,0.081,0.009,34.941,0.101,1
0.031,16.182,0.006,1,0.011,-0.043,0.008,35.558,0.075,1
0.015,15.271,0.013,0.911,0.012,0.208,0.007,34.118,0.142,1
0.017,15.035,0.006,1.004,0.01,0.12,0.007,34.162,0.127,1
0.504,22.978,0.01,1.124,0.019,0.03,0.018,42.429,0.039,1
0.582,23.599,0.02,1.002,0.024,0.018,0.03,42.881,0.054,1
0.496,22.957,0.011,0.899,0.01,-0.044,0.021,42.18,0.038,1
0.346,22.465,0.014,0.88,0.007,0.143,0.017,41.367,0.021,1
0.87,24.469,0.066,1.173,0.061,-0.035,0.143,44.095,0.301,1
0.679,24.094,0.033,0.975,0.032,-0.021,0.047,43.398,0.088,1
0.868,24.359,0.078,1.028,0.04,-0.102,0.169,43.871,0.344,1
0.331,21.8,0.005,0.937,0.005,0.042,0.004,40.946,0.013,1
0.688,23.629,0.015,0.999,0.024,-0.07,0.021,43.046,0.049,1
0.8,24.519,0.03,0.806,0.052,0.027,0.03,43.49,0.09,1
0.548,24.119,0.048,0.856,0.042,0.244,0.05,42.825,0.08,1
0.532,23.47,0.027,0.907,0.023,0.029,0.031,42.592,0.083,1
0.449,22.552,0.016,0.955,0.013,-0.048,0.019,41.866,0.044,1
0.371,22.201,0.016,0.968,0.01,-0.018,0.014,41.488,0.03,1
0.291,22.049,0.034,1.036,0.021,0.263,0.015,40.999,0.033,1
0.249,21.132,0.018,0.993,0.008,-0.09,0.013,40.571,0.02,1
0.463,22.558,0.111,1.074,0.031,-0.07,0.05,42.089,0.034,1
0.461,22.562,0.017,1.131,0.034,0.025,0.011,42.031,0.058,1
0.285,21.237,0.005,1.059,0.005,-0.061,0.004,40.731,0.015,1
0.633,23.746,0.02,0.989,0.029,-0.06,0.03,43.133,0.064,1
0.818,24.652,0.051,0.743,0.059,0.023,0.158,43.532,0.304,1
0.949,24.504,0.083,0.882,0.019,0.08,0.124,43.507,0.272,1
0.927,24.718,0.109,1.031,0.052,-0.305,0.174,44.553,0.38,1
0.695,24.019,0.036,0.729,0.024,-0.069,0.043,43.023,0.086,1
0.627,23.389,0.011,1.061,0.013,0.028,0.016,42.746,0.035,1
0.905,24.288,0.068,1.103,0.041,0.029,0.12,43.708,0.258,1
0.604,23.313,0.01,1.056,0.001,0.122,0.015,42.515,0.029,1
0.791,24.212,0.025,0.919,0.033,0.028,0.044,43.353,0.076,1
0.581,23.351,0.013,1.009,0.026,-0.056,0.024,42.761,0.047,1
0.592,23.403,0.024,0.966,0.049,0.062,0.035,42.562,0.09,1
0.571,23.269,0.026,0.957,0.033,0.03,0.028,42.465,0.07,1
0.557,23.003,0.011,0.944,0.013,-0.182,0.017,42.511,0.029,1
0.721,23.901,0.03,1.074,0.067,0.072,0.038,43.209,0.106,1
0.526,23.631,0.028,0.824,0.021,0.018,0.033,42.644,0.055,1
0.369,22.34,0.007,0.895,0.003,0.002,0.01,41.485,0.016,1
0.415,22.528,0.01,0.964,0.01,0.006,0.015,41.772,0.027,1
0.357,22.422,0.008,0.942,0.009,0.128,0.008,41.441,0.018,1
0.43,22.796,0.018,0.777,0.013,-0.008,0.025,41.776,0.038,1
0.521,23.321,0.014,1.065,0.024,0.185,0.022,42.439,0.054,1
0.707,24.151,0.047,0.801,0.002,-0.052,0.06,43.237,0.129,1
0.691,24.258,0.048,0.8,0.035,0.074,0.056,43.144,0.136,1
0.741,24.098,0.045,0.945,0.036,-0.067,0.043,43.427,0.117,1
0.62,23.781,0.022,0.895,0.017,-0.064,0.03,43.03,0.06,1
0.83,24.235,0.063,1.11,0.035,-0.448,0.18,44.414,0.347,1
0.643,23.798,0.021,0.963,0.016,0.017,0.029,43.023,0.059,1
1.01,25.12,0.192,1.088,0.074,-0.071,0.205,44.673,0.533,1
0.47,23.465,0.01,0.73,0.01,0.06,0.017,42.268,0.032,1
0.61,23.574,0.014,0.862,0.013,-0.079,0.019,42.796,0.039,1
0.263,21.678,0.004,0.895,0.006,0.091,0.003,40.682,0.013,1
0.358,22.532,0.005,0.913,0.005,0.149,0.006,41.474,0.013,1
0.73,24.128,0.026,0.9,0.014,-0.002,0.037,43.287,0.075,1
0.451,23.235,0.01,0.953,0.01,0.276,0.016,42.038,0.03,1
0.91,24.708,0.094,0.952,0.047,-0.202,0.163,44.259,0.346,1
0.552,23.475,0.011,0.898,0.011,0.106,0.017,42.461,0.035,1
0.71,24.256,0.027,0.972,0.002,0.22,0.038,43.176,0.077,1
0.93,24.871,0.126,0.901,0.039,-0.256,0.194,44.43,0.43,1
0.337,21.967,0.003,1.064,0.004,0.072,0.003,41.259,0.01,1
0.752,23.882,0.035,1.013,0.037,0.026,0.043,43.17,0.09,1
0.983,24.925,0.168,0.831,0.049,0.022,0.211,43.941,0.496,1
0.822,24.342,0.04,0.95,0.028,0.019,0.116,43.544,0.218,1
0.95,24.552,0.082,1.182,0.015,0.117,0.122,43.954,0.268,1
0.817,24.271,0.048,1.111,0.064,0.062,0.14,43.652,0.254,1
0.34,22.137,0.004,1.011,0.006,0.089,0.004,41.323,0.012,1
0.96,24.542,0.075,0.922,0.045,0.07,0.11,43.622,0.234,1
0.81,24.272,0.05,1.005,0.084,-0.065,0.152,43.691,0.301,1
0.756,24.069,0.026,0.783,0.028,-0.259,0.033,43.453,0.058,1
0.613,24.022,0.023,0.823,0.025,0.064,0.025,42.961,0.061,1
0.84,24.314,0.037,1.05,0.051,0.142,0.098,43.475,0.185,1
0.55,23.362,0.02,0.995,0.029,0.112,0.027,42.487,0.056,1
0.811,24.39,0.044,1,0.057,-0.161,0.15,43.95,0.264,1
0.961,24.566,0.093,0.962,0.058,-0.117,0.138,44,0.29,1
